title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Pork Sinigang,1 hr ,Soups# Stews and Chili Recipes#Soup Recipes#Pork Soup Recipes,"1 tablespoon vegetable oil# 1 small onion, chopped# 1 teaspoon salt# 1 (1/2 inch) piece fresh ginger, chopped# 2 plum tomatoes, cut into 1/2-inch dice# 1 pound bone-in pork chops# 4 cups water, more if needed# 1 (1.41 ounce) package tamarind soup base (such as Knorr®)#½ pound fresh green beans, trimmed","Heat the vegetable oil in a skillet over medium heat. Stir in the onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Season with salt. Stir in the ginger, tomatoes, and pork chops. Cover and reduce heat to medium-low. Turn the pork occasionally, until browned. Pour in the water and tamarind soup base. Bring to a boil, then reduce heat. Continue simmering until the pork is tender and cooked through, about 30 minutes. Stir in green beans and cook until tender.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2926143.jpg,malgal,240,12.2g,2598.3mg.,63.5mg,9.1g,26.5g,Soups
Virgin Strawberry Daiquiri,5 mins ,World Cuisine#Latin American#Caribbean,"2 large strawberries, hulled#¼ cup white sugar# 1 tablespoon lemon juice#¾ cup chilled lemon-lime soda# 4 cubes ice","In the container of a blender, combine the strawberries, sugar, lemon juice and lemon-lime soda. Add the ice and blend until smooth. Pour into a fancy glass to serve.n",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F35611.jpg,mechanicmike,287,74.4g,24.6mg.,0,0.1g,0.3g,World Cuisine
Blackberry Pie I,40 mins ,Desserts#Pies#Fruit Pies#Blackberry Pie Recipes,4 cups fresh blackberries#½ cup white sugar#½ cup all-purpose flour# 1 recipe pastry for a 9 inch double crust pie# 2 tablespoons milk#¼ cup white sugar,"Preheat oven to 425 degrees F (220 degrees C).# Combine 3 1/2 cups berries with the sugar and flour. Spoon the mixture into an unbaked pie shell. Spread the remaining 1/2 cup berries on top of the sweetened berries, and cover with the top crust. Seal and crimp the edges, and cut vents in the top crust for steam to escape.# Brush the top crust with milk, and sprinkle with 1/4 cup sugar.# Bake in the preheated oven for 15 minutes. Reduce the temperature of the oven to 375 degrees F (190 degrees C), and bake for an additional 20 to 25 minutes, or until the filling is bubbly and the crust is golden brown. Cool on wire rack.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F675137.jpg,brightlightz,248,42.1g,119.3mg.,0.3mg,8g,3.3g,Desserts
Mojitos by the Pitcher,20 mins ,Drink Recipes#Cocktail Recipes#Mojito Recipes,"½ cup white sugar# 36 leaves fresh mint, or to taste# 3 limes, quartered# 1 cup rum (such as Bacardi®)# 1 liter club soda",Muddle sugar and mint leaves together in pitcher until leaves are well broken down. Add limes and muddle until limes are juiced. Stir rum into sugar mixture; add club soda and stir until sugar is dissolved.,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1249577.jpg,Yoly,160,20.2g,5.8mg.,0,0.1g,0.2g,Drink Recipes
Turkey Breakfast Sausage,10 mins ,Breakfast and Brunch#Meat and Seafood#Sausage,2 pounds ground turkey# 1 tablespoon brown sugar# 2 teaspoons kosher salt# ½ teaspoons ground black pepper# ½ teaspoons ground sage# ½ teaspoons ground thyme#½ teaspoon dried marjoram#½ teaspoon red pepper flakes,"Mix turkey, brown sugar, salt, black pepper, sage, thyme, marjoram, and red pepper flakes in a bowl. Shape turkey mixture into patties.# Fry patties in a large skillet over medium-high heat until golden brown and no longer pink in the center, 6 to 8 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9335232.jpg,John Goddard,176,2.3g,545mg.,83.8mg,8.6g,22.6g,Breakfast and Brunch
Outrageous Warm Chicken Nacho Dip,1 hr 15 mins ,Appetizers and Snacks#Dips and Spreads Recipes#Cheese Dips and Spreads Recipes#Hot Cheese Dip Recipes,"1 (14 ounce) can diced tomatoes with green chile peppers, drained# 1 (1 pound) loaf processed cheese food (such as Velveeta®), cubed# 2 large cooked skinless, boneless chicken breast halves, shredded# 1 cup sour cream#¼ cup diced green onion# ½ tablespoons taco seasoning mix# 2 tablespoons minced jalapeno pepper, or to taste (Optional)# 1 cup black beans, rinsed and drained","Place the diced tomatoes, processed cheese, chicken meat, sour cream, green onion, taco seasoning, and jalapeno pepper into a slow cooker. Cook on High, stirring occasionally until the cheese has melted and the dip is hot, 1 to 2 hours. Stir in the black beans, and cook 15 more minutes to reheat.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2333962.jpg,lutzflcat,232,8.7g,790.4mg.,60.2mg,13.6g,18.6g,Appetizers and Snacks
Skillet Chicken Thighs with Carrots and Potatoes,50 mins ,Meat and Poultry#Chicken#Chicken Thigh Recipes,"1 pound bone-in chicken thighs# ½ teaspoons paprika# ½ teaspoons salt, or more to taste# 1 teaspoon ground black pepper, or more to taste# 2 tablespoons vegetable oil#¾ pound baby carrots#½ pound baby potatoes, halved#½ onion, sliced# 1 cup chicken broth, divided# 1 tablespoon cornstarch","Season chicken thighs with paprika, salt, and pepper.# Heat oil in a skillet over medium-high heat. Place chicken thighs skin-side down in the skillet and cook, without moving, until golden brown, 7 to 9 minutes. Flip thighs over and cook for an additional 3 to 5 minutes. Remove from the skillet and set aside.# Add potatoes, cut side down, and cook over medium-high heat until golden brown, 3 to 5 minutes. Add carrots and onions and cook until onions are soft and translucent, 8 to 10 minutes. Stir in 3/4 cup chicken broth, scraping up all the browned bits.# Dissolve corn starch in 1/4 cup chicken broth and pour into the skillet. Stir until well combined.# Place chicken thighs over vegetables, cover, and cook until carrots are tender and chicken is no longer pink at the bone and the juices run clear, 25 to 30 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Season with additional salt and pepper if needed.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8572065.jpg,Chef John,350,22.4g,1297.6mg.,72.2mg,19.2g,21.5g,Meat and Poultry
Crispy Baked Chicken Thighs,50 mins ,Meat and Poultry#Chicken#Chicken Thigh Recipes,"6 skin-on, bone-in chicken thighs# salt and ground black pepper to taste# 1 pinch garlic powder, or to taste","Preheat oven to 475 degrees F (245 degrees C). Set a wire rack inside a broiler pan or baking pan.# Pat chicken thighs dry with paper towels. Lift up skin gently; sprinkle salt, pepper, and garlic powder under the skin. Replace skin. Season skin and underside of the thighs with salt, pepper, and garlic powder. Arrange on the rack.# Roast in the preheated oven until golden, about 20 minutes. Reduce oven temperature to 400 degrees F (200 degrees C). Continue roasting until juices run clear, about 30 minutes more. Let rest for 5 minutes before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F03%2F12%2F258878-crispybakedchickenthighs-passano-alr0321-9336-2000.jpg,Ron Shepherd,189,0.1g,90mg.,71mg,11.8g,19.2g,Meat and Poultry
The Ultimate Chili,6 hrs 10 mins ,Soups# Stews and Chili Recipes#Chili Recipes#Beef Chili Recipes,"1 pound lean ground beef# salt and pepper to taste# 3 (15 ounce) cans dark red kidney beans# 3 (14.5 ounce) cans Mexican-style stewed tomatoes# 2 stalks celery, chopped# 1 red bell pepper, chopped#¼ cup red wine vinegar# 2 tablespoons chili powder# 1 teaspoon ground cumin# 1 teaspoon dried parsley# 1 teaspoon dried basil# 1 dash Worcestershire sauce#½ cup red wine","In a large skillet over medium-high heat, cook ground beef until evenly browned. Drain off grease, and season to taste with salt and pepper.# In a slow cooker, combine the cooked beef, kidney beans, tomatoes, celery, red bell pepper, and red wine vinegar. Season with chili powder, cumin, parsley, basil and Worcestershire sauce. Stir to distribute ingredients evenly.# Cook on High for 6 hours, or on Low for 8 hours. Pour in the wine during the last 2 hours.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1003997.jpg,Michelle Ramey,414,49.5g,1015mg.,49.6mg,11g,28.4g,Soups
South African Melktert (Milk Tart),40 mins ,Desserts#Pies#Custard and Cream Pies,"3 tablespoons butter, melted# 1 cup white sugar# 3 egg yolks# 1 cup cake flour# 1 teaspoon baking powder#¼ teaspoon salt# 1 teaspoon vanilla extract# 4 cups milk# 3 egg white# 1 tablespoon cinnamon sugar","Preheat the oven to 375 degrees F (190 degrees C). Coat a 9-inch deep dish pie plate with vegetable oil cooking spray.# In a large bowl, mix together the butter and sugar until smooth. Add the egg yolks and beat until light and fluffy. Sift in the cake flour, baking powder and salt, and stir until well blended. Mix in the vanilla and milk. In a separate bowl, whip the egg whites to stiff peaks using an electric mixer. Fold into the batter. Pour into the prepared pie plate, and sprinkle cinnamon sugar over the top.# Bake for 25 minutes in the preheated oven, then reduce the temperature to 325 degrees F (165 degrees C). Continue to bake for 25 to 30 minutes, or until the center is set when you gently jiggle the pie. Serve hot or cold.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9395564.jpg,ews3942,294,46.8g,238.5mg.,98mg,8.5g,7.9g,Desserts
Perfect Flourless Orange Cake,1 hr ,Desserts#Fruit Desserts#Orange Dessert Recipes,2 whole oranges with peel# 6 eggs# 1 pinch saffron powder (Optional)# ¼ cups white sugar#½ teaspoon baking powder# ¼ cups finely ground almonds (almond meal)# 1 teaspoon finely chopped candied orange peel (Optional),"Place the oranges in a large saucepan, and add enough water to cover. Bring to a boil, and boil for 2 hours over medium heat. Check occasionally to make sure they do not boil dry. Allow the oranges to cool, then cut them open and remove the seeds. Process in a blender or food processor to a coarse pulp.# Preheat the oven to 375 degrees F (190 degrees C). Thoroughly grease a 10-inch round cake pan and line it with parchment paper.# In a large bowl, beat the eggs and sugar together using an electric mixer until thick and pale, about 10 minutes. Mix in baking powder and saffron (optional). Stir in the pureed oranges. Gently fold in almond meal and candied orange peel (optional); pour batter into the prepared pan.# Bake until a small knife inserted into the center comes out clean, about 1 hour. Allow the cake to cool in the pan. Tap out onto a serving plate when cool.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1116003.jpg,Michele O'Sullivan,174,21g,41.7mg.,69.8mg,8.6g,5.4g,Desserts
Pizza Cupcakes,15 mins ,Holidays and Events Recipes#Recipes for the Super Bowl®#Big Game Appetizer Recipes,"cooking spray# 8 medium cherry tomatoes# 1 (11 ounce) can refrigerated pizza crust# 8 teaspoons shredded mozzarella cheese#½ cup pizza sauce (such as Classico®)# 8 teaspoons finely chopped red onion#½ cup shredded mozzarella cheese# 8 slices pepperoni, quartered# Italian seasoning to taste# red pepper flakes to taste# garlic salt to taste","Preheat the oven to 400 degrees F (200 degrees C). Spray 8 cups of a muffin tin with cooking spray.# Finely chop cherry tomatoes and drain any liquid. Set aside.# Unroll pizza crust on a floured work surface and roll out thinly into a large rectangle. Using a 4-inch round cookie or biscuit cutter, cut 8 circles in the dough. Place dough circles in the prepared muffin cups, pressing dough into the bottom and up the sides of each cup.# Drop 1 teaspoon mozzarella into each cup. Top with 1 tablespoon of pizza sauce. Add chopped tomatoes and red onions. Add 1 tablespoon of mozzarella to each cup, and top with pepperoni. Sprinkle each cup with Italian seasoning, red pepper flakes, and garlic salt to taste.# Bake in the preheated oven until cheese is bubbling and melted, 14 to 15 minutes. Remove from the oven and let cool in the tin for about 5 minutes. Remove from the tin and serve hot.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9090841.jpg,Soup Loving Nicole,149,21.3g,434.6mg.,8.1mg,3.8g,6.6g,Side Dishes
Crispy Honey Sriracha Chicken Wings,55 mins ,Meat and Poultry#Chicken#Wings,"2 tablespoons baking powder# 1 tablespoon kosher salt# 1 teaspoon freshly ground black pepper# 1 teaspoon smoked paprika# ½ pounds chicken wing sections#1 cup honey#1 cup sriracha sauce# 1 tablespoon seasoned rice vinegar#¼ teaspoon sesame oil# 1 pinch sesame seeds, or as desired","Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil and place an oven-proof wire rack over the foil.# Whisk baking powder, salt, black pepper, and paprika together in a small bowl. Place chicken wings in a large bowl. Sprinkle 1/2 of the baking powder mixture over wings and toss to coat. Sprinkle remaining baking powder mixture over wings and toss to coat again. Place wings onto the rack of the prepared baking sheet.# Bake in the preheated oven for 20 minutes. Turn wings and continue baking for 20 minutes. Turn wings again and bake until wings are browned and crispy, about 15 minutes more. Transfer wings to a large bowl.# Whisk honey, sriracha sauce, rice vinegar, and sesame oil together in a bowl until glaze is smooth. Drizzle glaze over wings and toss to coat completely. Transfer wings to a serving platter and sprinkle sesame seeds over the top.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9396572.jpg&w=1200&h=678&c=sc&poi=face&q=60,Darla K,315,28.7g,3151.9mg.,59.4mg,14.3g,19.3g,Meat and Poultry
Sweet Russian Cabbage Soup,1 hr ,Soups# Stews and Chili Recipes#Soup Recipes#Vegetable Soup Recipes#Cabbage Soup Recipes,"½ pounds ground lean beef# 1 (14.5 ounce) can diced tomatoes# 1 (8 ounce) can tomato sauce# 4 cubes beef bouillon# 2 medium carrots, shredded# 1 onion, chopped# 2 tablespoons white vinegar#½ cup white sugar# ½ teaspoons salt#½ teaspoon ground black pepper# 2 quarts water, divided# 3 cloves garlic, finely chopped# 1 head cabbage, cored and cut into wedges","Crumble the ground beef into a large pot. Add the diced tomatoes, tomato sauce, beef bouillon cubes, carrots, onion, vinegar, sugar, salt and pepper. Pour in 1 quart of water, and bring to a boil. Stir to break up the beef while heating. Once the soup comes to a boil, cover and simmer for 30 minutes over low heat.# Pour in another quart of water, and return to a slow boil. Add garlic and cabbage. Simmer for 25 minutes, until cabbage is tender. Ladle into soup bowls to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1244128.jpg,Chef John,688,55.5g,2396.3mg.,127.8mg,35.9g,36.9g,Soups
Pigs in a Blanket,20 mins ,Meat and Poultry#Pork,8 frankfurters# 8 slices American processed cheese# 1 (10 ounce) package refrigerated biscuit dough,"Preheat oven to 350 degrees F (175 degrees C).# ""Wrap cheese around each frankfurter then the biscuit around that. Put on cookie sheet with the overlap of biscuit faced down, so you dont have to use tooth picks."", Bake in preheated oven until biscuits are brown, about 10 to 15 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4843993.jpg,BethAnne923,458,24.8g,1760.4mg.,57.1mg,31.8g,17.1g,Meat and Poultry
Salmon with Lemon and Dill,25 mins ,Main Dishes#Seafood Main Dishes#Salmon#Baked Salmon Recipes,"1 pound salmon fillets#¼ cup butter, melted# 5 tablespoons lemon juice# 1 tablespoon dried dill weed#¼ teaspoon garlic powder# sea salt to taste# freshly ground black pepper to taste","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a medium baking dish.# Place salmon in the baking dish. Mix the butter and lemon juice in a small bowl, and drizzle over the salmon. Season with dill, garlic powder, sea salt, and pepper.# Bake 25 minutes in the preheated oven, or until salmon is easily flaked with a fork.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2363185.jpg,Jeannine Ross,320,2.4g,196.6mg.,104.3mg,22.1g,25.7g,Main Dishes
