title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Hash Brown Casserole II,20 mins ,Side Dish#Potato#Hash Brown Potato Recipes,"1 (2 pound) package frozen hash brown potatoes, thawed# ½ cup melted butter# 1 (10.75 ounce) can condensed cream of chicken soup# 1 (8 ounce) container sour cream# ½ cup chopped onions# 2 cups shredded Cheddar cheese# 1 teaspoon salt# ¼ teaspoon ground black pepper# 2 cups crushed cornflakes cereal# ¼ cup melted butter","Preheat oven to 350 degrees F (175 degrees C).# In a large bowl, combine hash browns, 1/2 cup melted butter, cream of chicken soup, sour cream, chopped onion, Cheddar cheese, salt and pepper. Place mixture in a 3 quart casserole dish.# In a medium saucepan over medium heat, saute cornflakes in 1/4 cup melted butter, and sprinkle the mixture over the top of the casserole.# Bake covered in preheated oven for 40 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F07%2F17%2F1060127.jpg,CMANSKY,321,20.9g,626.6mg.,60.6mg,27.8g,7.9g,Side Dish
Simple Beef Stroganoff,20 mins ,Main Dishes#Beef#Beef Stroganoff Recipes,1 (8 ounce) package egg noodles# 1 pound ground beef# 1 (10.75 ounce) can fat free condensed cream of mushroom soup# 1 tablespoon garlic powder# ½ cup sour cream# salt and pepper to taste,"Prepare the egg noodles according to package directions and set aside.# In a separate large skillet over medium heat, saute the ground beef over medium heat for 5 to 10 minutes, or until browned. Drain the fat and add the soup and garlic powder. Simmer for 10 minutes, stirring occasionally.# Remove from heat and combine the meat mixture with the egg noodles. Add the sour cream, stirring well, and season with salt and pepper to taste.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FBeef-Stroganoff.jpg,Brenda,679,48.2g,659.8mg.,159.2mg,40.5g,28.7g,Main Dishes
Spicy Thai Basil Chicken (Pad Krapow Gai),15 mins ,World Cuisine#Asian#Thai,"1 tablespoon oyster sauce# 1 tablespoon soy sauce, or as needed# 2 teaspoons fish sauce# 1 teaspoon white sugar# 1 teaspoon brown sugar# 2 tablespoons vegetable oil# 1 pound skinless, boneless chicken thighs, coarsely chopped# ¼ cup sliced shallots# 4 cloves garlic, minced# 2 tablespoons minced Thai chilies, Serrano, or other hot pepper# 1 cup very thinly sliced fresh basil leaves# 2 cups hot cooked rice","Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended.# Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes. Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes. Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute.# Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat.# Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F07%2F15%2F4507925-spicy-thai-basil-chicken-pad-krapow-gai-photo-by-chef-john-cropped.jpg,Chef John,715,58.6g,1181.9mg.,155.9mg,30g,49.8g,World Cuisine
Slow Cooker Chicken and Dumplings,10 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Chicken Soup Recipes#Chicken and Dumpling Recipes,"4 skinless, boneless chicken breast halves# 2 tablespoons butter# 2 (10.75 ounce) cans condensed cream of chicken soup# 1 onion, finely diced# 2 (10 ounce) packages refrigerated biscuit dough, torn into pieces","Place the chicken, butter, soup, and onion in a slow cooker, and fill with enough water to cover.# Cover, and cook for 5 to 6 hours on High. About 30 minutes before serving, place the torn biscuit dough in the slow cooker. Cook until the dough is no longer raw in the center.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2017%2F09%2F806223-Slow-Cooker-Chicken-and-Dumplings-photo-by-KGora1.jpg,Janiece Mason,385,37g,1244.6mg.,44.8mg,18g,18.1g,Soups
Clone of a Cinnabon,20 mins ,Bread#Pastries#Cinnamon Roll Recipes,"1 cup warm milk (110 degrees F/45 degrees C)# 2 eggs, room temperature# 1 cup margarine, melted# ½ cups bread flour# 1 teaspoon salt# ½ cup white sugar# ½ teaspoons bread machine yeast# 1 cup brown sugar, packed#½ tablespoons ground cinnamon# 1 (3 ounce) package cream cheese, softened# ¼ cup butter, softened# ½ cups confectioners sugar, ½ teaspoon vanilla extract ","Place ingredients in the pan of the bread machine in the order recommended by the manufacturer. Select dough cycle; press Start.# After the dough has doubled in size turn it out onto a lightly floured surface, cover and let rest for 10 minutes. In a small bowl, combine brown sugar and cinnamon.# Roll dough into a 16x21-inch rectangle. Spread dough with 1/3 cup butter and sprinkle evenly with sugar/cinnamon mixture. Roll up dough and cut into 12 rolls. Place rolls in a lightly greased 9x13 inch baking pan. Cover and let rise until nearly doubled, about 30 minutes. Meanwhile, preheat oven to 400 degrees F (200 degrees C).# ""Bake rolls in preheated oven until golden brown, about 15 minutes. While rolls are baking, beat together cream cheese, 1/4 cup butter, confectioners sugar, vanilla extract and salt. Spread frosting on warm rolls before serving.""",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F04%2F08%2FClone-of-a-Cinnabon-by-abrooks-2000.jpg,Marsha Fernandez,502,77.3g,387.7mg.,64.1mg,18.5g,8.2g,Bread
The Perfect Cinnamon Roll Icing,10 mins ,Desserts#Frostings and Icings,"2 ounces cream cheese, softened# 7 tablespoons butter, softened# ½ teaspoon vanilla extract# 2 tablespoons milk# ""½ cups confectioners sugar, sifted"", ¼ teaspoon salt","""Beat together the cream cheese and butter with an electric mixer in a large bowl until creamy. Mix in the vanilla and milk, then gradually mix in the confectioners sugar and salt until smooth and fluffy.""",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F09%2F14%2F1576692_original.jpg,Cara McGuire,69,7.9g,55.7mg.,11.6mg,4.2g,0.3g,Desserts
Quick and Easy Yorkshire Pudding,10 mins ,Bread#Quick Bread Recipes#Popovers and Yorkshire Pudding Recipes,3 eggs# 1 cup milk# 1 cup all-purpose flour# 2 tablespoons butter,"Preheat oven to 375 degrees F (190 degrees C).# In a medium bowl, beat eggs with milk. Stir in flour. Set aside.# Divide butter evenly into the twelve cups of a muffin tin, about 1/2 teaspoon per cup. Place tin in oven to melt butter, 2 to 5 minutes. Remove tin from oven, and distribute batter evenly among buttery cups.# Bake in preheated oven 5 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake 25 minutes more or until puffed and golden.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FQuick-and-Easy-Yorkshire-Pudding.jpg,BLU_17,83,9g,39.7mg.,53.2mg,3.7g,3.3g,Bread
Southern Fried Cabbage,5 mins ,Side Dish#Vegetables,"3 slices bacon, cut into thirdsl# 1 teaspoon salt, or to taste# 1 teaspoon ground black pepper, or to taste# 1 head cabbage, cored and sliced# 1 white onion, chopped# 1 pinch white sugar","Place the bacon and vegetable oil into a large pot over medium heat. Season with salt and pepper. Cook for about 5 minutes, or until bacon is crisp. Add cabbage, onion, and sugar to the pot; cook and stir continuously for 5 minutes, until tender.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F04%2F08%2F6537108_original-2000.jpg,JNADX3,189,13.6g,527.8mg.,5mg,14.2g,4.4g,Side Dish
Gyoza Sauce,15 mins ,Side Dish#Sauces and Condiments#Sauces,"½ cup rice vinegar# ½ cup low-sodium soy sauce# ½ teaspoon crushed red pepper flakes# 1 garlic clove, minced# ½ teaspoon minced fresh ginger roots# 1 teaspoon sesame oil","Whisk together the rice vinegar, soy sauce, red pepper flakes, garlic, ginger, green onions, and sesame oil in a bowl; allow to sit 15 minutes before serving. Store in refrigerator up to 1 week.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F04%2F08%2F6537108_original-2000.jpg,Rebecca Friedman,8,1g,266mg.,0,0.3g,0.5g,Side Dish
Chicken Stir-Fry,30 mins ,Meat and Poultry#Chicken#Breast#Stir-Fry,"2 cups white rice# 4 cups water, 1 cup soy sauce# ¼ cup brown sugar# 1 tablespoon cornstarch# 1 tablespoon minced fresh ginger# 1 tablespoon minced garlic# ¼ teaspoon red pepper flakes# 3 skinless, boneless chicken breast halves, thinly sliced# 1 tablespoon sesame oil# 1 green bell pepper, cut into matchsticks# 1 (8 ounce) can sliced water chestnuts, drained# 1 head broccoli, broken into florets# 1 cup sliced carrots# 1 onion, cut into large chunks# 1 tablespoon sesame oil","Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes.# Combine soy sauce, brown sugar, and corn starch in a small bowl; stir until smooth. Mix ginger, garlic, and red pepper into sauce; coat chicken with marinade and refrigerate for at least 15 minutes.# Heat 1 tablespoon sesame oil in a large skillet over medium-high heat. Cook and stir bell pepper, water chestnuts, broccoli, carrots, and onion until just tender, about 5 minutes. Remove vegetables from skillet and keep warm.# Remove chicken from marinade, reserving liquid. Heat 1 tablespoon sesame oil in skillet over medium-high heat. Cook and stir chicken until slightly pink on the inside, about 2 minutes per side; return vegetables and reserved marinade to skillet. Bring to a boil; cook and stir until chicken is no longer pink in the middle and vegetables are tender, 5 to 7 minutes. Serve over rice.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FChicken-Stir-Fry-Brian-M-1-2000.jpg,Katie Sechrist,700,76.7g,1790.4mg.,161.4mg,12.1g,67.7g,Meat and Poultry
