title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Roasted Garlic Cauliflower,15 mins ,Fruits and Vegetables#Vegetables#Cauliflower#Roasted,"2 tablespoons minced garlic# 3 tablespoons olive oil# 1 large head cauliflower, separated into florets# 1 cup grated Parmesan cheese# salt and black pepper to taste# 1 tablespoon chopped fresh parsley","Preheat the oven to 450 degrees F (220 degrees C). Grease a large casserole dish.# Place the olive oil and garlic in a large resealable bag. Add cauliflower, and shake to mix. Pour into the prepared casserole dish, and season with salt and pepper to taste.# Bake for 25 minutes, stirring halfway through. Top with Parmesan cheese and parsley, and broil for 3 to 5 minutes, until golden brown.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F03%2F3513330.jpg,SHELLERY,118,8.6g,110.9mg.,3.9mg,8.2g,4.7g,Fruits and Vegetables
Healthier Slow Cooker Chicken and Dumplings,10 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Chicken Soup Recipes#Chicken and Dumpling Recipes,"4 skinless, boneless chicken breast halves# 2 tablespoons butter# 2 cups natural cream of chicken soup# 1 onion, finely diced# 3 carrots, sliced# 10 ounces refrigerated reduced-fat biscuit dough, torn into pieces# 1 cup frozen peas","Place chicken, butter, cream of chicken soup, and onion in a slow cooker. Cover and cook on High for 5 to 6 hours. Stir in carrots after 5 hours of cooking.# Place torn biscuit dough in slow cooker 30 minutes before serving. Cook until dough is no longer raw in the center, about 25 minutes. Lift edges of biscuits and stir in peas. Let stand until warm, about 10 minutes, before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F03%2F3513330.jpg,MakeItHealthy,248,29.3g,758mg.,40.5mg,7.1g,16.2g,Soups
White Chili with Ground Turkey,15 mins ,Soups# Stews and Chili Recipes#Chili Recipes#White Chili Recipes,"1 onion, chopped# 3 cloves garlic, minced# 1½ pounds ground turkey# 2 (4 ounce) cans canned green chile peppers, chopped# 1 tablespoon ground cumin# 1 tablespoon dried oregano# 1 teaspoon ground cinnamon# ground cayenne pepper to taste# ground white pepper to taste# 3 (15 ounce) cans cannellini beans# 5 cups chicken broth# 2 cups shredded Monterey Jack cheese","In a large pot over medium heat, combine the onion, garlic and ground turkey and saute for 10 minutes, or until turkey is well browned. Add the chile peppers, cumin, oregano, cinnamon, cayenne pepper to taste and white pepper to taste and saute for 5 more minutes.# Add two cans of the beans and the chicken broth to the pot. Take the third can of beans and puree them in a blender or food processor. Add this to the pot along with the cheese. Stir well and simmer for 10 minutes, allowing the cheese to melt.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2017%2F10%2F3359183_-White-Chili-with-Ground-Turkey-Photo-by-myredeemedlife.jpg,deleteduser,396,26.7g,1366mg.,92.3mg,17.3g,31.5g,Soups
Briam (Greek Baked Zucchini and Potatoes),30 mins ,World Cuisine#European#Greek,"2 pounds potatoes, peeled and thinly sliced# 4 large zucchini, thinly sliced# 4 small red onions, thinly sliced# 6 ripe tomatoes, pureed# ½ cup olive oil# 2 tablespoons chopped fresh parsley (Optional)# sea salt and freshly ground black pepper to taste","Preheat oven to 400 degrees F (200 degrees C).# Spread potatoes, zucchini, and red onions in a 9x13-inch baking dish, or preferably a larger one. Use 2 baking dishes if necessary. Cover with pureed tomatoes, olive oil, parsley. Season with salt and freshly ground pepper. Toss all ingredients together so that the vegetables are evenly coated.# Bake in the preheated oven, stirring after 1 hour, until vegetables are tender and moisture has evaporated, about 90 minutes. Cool slightly before serving, or serve at room temperature.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4549640.jpg,Diana Moutsopoulos,534,65.8g,141.4mg.,0,28.3g,11.3g,World Cuisine
Hot Water Cornbread,5 mins ,Bread#Quick Bread Recipes#Cornbread Recipes,1 cup cornmeal# 1 teaspoon salt# 1 teaspoon white sugar# 1 tablespoon shortening# ¾ cup boiling water,"In a medium bowl, combine cornmeal, salt, and sugar. Add boiling water and shortening; stir until shortening melts.# Pour oil or bacon fat to a depth of 1/2 inch in a large skillet and heat to 375 degrees F (190 degrees C).# Shape cornmeal mixture into flattened balls using a heaping tablespoon as a measuring guide. Fry each in hot oil, turning once, until crisp and golden brown, about 5 minutes. Drain on paper towels. Serve at once with maple syrup or honey.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4549640.jpg,Karin Christian,95,16.3g,395.6mg.,0,2.9g,1.7g,Bread
The Perfect Margarita,10 mins ,Drink Recipes#Cocktail Recipes#Margarita Recipes,1 lime wedge# 1 pinch coarse sea salt to taste# 1 large ice cube# ice# 2 fluid ounces white tequila# 1½ fluid ounces triple sec# 1 fluid ounce freshly squeezed lime juice# 1 slice lime,"Moisten the rim of a glass with a lime wedge. Sprinkle salt onto a plate. Lightly dip the moistened rim into the salt. Place a large ice cube in the glass and freeze the prepared glass until ready to serve.# Fill a cocktail shaker with fresh ice. Add tequila, triple sec, and lime juice. Cover and shake vigorously until outside of the shaker has frosted. Strain into the prepared glass and garnish with a slice of lime.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F02%2F22%2F5386189.jpg,Chef John,321,30.4g,330.6mg.,0,0.3g,0.7g,Drink Recipes
Dinah's Stuffed Mushrooms,20 mins ,Appetizers and Snacks#Vegetable#Mushrooms#Stuffed Mushroom Recipes,"20 fresh mushrooms, stems removed# 2 (6.5 ounce) cans minced clams, drained# 2 cloves garlic, peeled and minced# ½ cup grated Parmesan cheese# 1 small onion, finely chopped# ¾ cup dry bread crumbs# ½ cup chopped green bell pepper# 2 tablespoons dried parsley# 2 tablespoons Italian-style seasoning# ground black pepper to taste# ½ cups butter, melted# ½ cup shredded mozzarella cheese","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.# Arrange mushroom caps hollow side up in the baking dish.# In a medium bowl, mix together minced clams, garlic, Parmesan cheese, onion, bread crumbs, green bell pepper, parsley, Italian-style seasoning and black pepper. Slowly stir in approximately 1/2 the butter, enough to make the mixture slightly moist.# Generously fill the mushroom caps with the clam mixture. Sprinkle with mozzarella cheese. Drizzle with remaining butter.# Bake in the preheated oven 30 minutes, or until lightly browned.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F02%2F22%2F5386189.jpg,DEBNJAMES,383,11.2g,412mg.,106mg,31.3g,15.5g,Appetizers and Snacks
Fantastic Onion Ring Batter,15 mins ,Side Dish#Vegetables#Onion,"2 large onions, cut into rings# 1 cup all-purpose flour# 2 tablespoons all-purpose flour# 1 cup milk# 1 egg# 2 tablespoons vegetable oil# 1 teaspoon salt# vegetable oil for frying","Soak onion rings in a bowl of ice water for 1 hour; drain and pat dry with paper towels.# Whisk 1 cup plus 2 tablespoons flour, milk, egg, 2 tablespoons vegetable oil, and salt together in a bowl until smooth.# Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).# Dip onion rings in the batter, working in batches, until evenly coated and arrange in 1 layer on a plate.# Fry the battered onion rings, working in batches, until browned, about 5 minutes. Transfer fried onion rings to a paper towel-lined plate using a slotted spoon.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F02%2F22%2F5386189.jpg,lwilliams001,231,18.4g,313.8mg.,25.7mg,15.9g,4g,Side Dish
Creamy White Chili,15 mins ,Soups# Stews and Chili Recipes#Chili Recipes#White Chili Recipes,"1 tablespoon olive oil# 1 pound skinless, boneless chicken breast halves, cut into 1/2-inch cubes# 1 onion, chopped# 2 cloves garlic, chopped# 2 (15.5 ounce) cans great Northern beans, rinsed and drained# 1 (14.5 ounce) can chicken broth# 2 (4 ounce) cans chopped green chiles# 1 teaspoon salt# 1 teaspoon ground cumin# 1 teaspoon dried oregano# ½ teaspoon ground black pepper# ¼ teaspoon cayenne pepper# 1 cup sour cream# ½ cup heavy whipping cream","Heat olive oil in a large saucepan over medium heat; cook and stir chicken, onion, and garlic into the hot oil until chicken is no longer pink in the center and the juices run clear, 10 to 15 minutes.# Mix Great Northern beans, chicken broth, green chiles, salt, cumin, oregano, black pepper, and cayenne pepper into chicken mixture; bring to a boil. Reduce heat and simmer until flavors have blended, about 30 minutes.# Remove chili from heat; stir in sour cream and whipping cream until incorporated.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2015%2F03%2F02%2F229949-Creamy-White-Chili-1483386-mis7up-2000.jpg,JELZA,334,29.7g,887.7mg.,63.4mg,15.1g,21.3g,Soups
Strawberry Oatmeal Breakfast Smoothie,5 mins ,Breakfast and Brunch#Drinks,"1 cup soy milk# ½ cup rolled oats# 1 banana, broken into chunks# 14 frozen strawberries# ½ teaspoon vanilla extract# 1½ teaspoons white sugar","In a blender, combine soy milk, oats, banana and strawberries. Add vanilla and sugar if desired. Blend until smooth. Pour into glasses and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F409456.jpg,ASTROPHE,236,44.9g,65.4mg.,0,3.7g,7.6g,Breakfast and Brunch
Creamy Garlic Sauce,2 mins ,Side Dish#Sauces and Condiments#Sauces,"½ cup water, divided# 2 tablespoons chopped garlic# 1 teaspoon garlic powder# 2 cups heavy cream# 1 tablespoon chopped fresh parsley# salt and pepper to taste# 2 tablespoons cornstarch","Pour half of the water into a saucepan, and bring to a boil over medium heat. Add the garlic and garlic powder, and boil until the water has almost evaporated, about 5 minutes. Stir in the heavy cream, parsley, salt, and pepper. Mix the cornstarch with the remaining water, and stir into the sauce. Cook, stirring constantly, until thickened, about 3 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F409456.jpg,AUSSIEDAVE1,435,8.9g,47mg.,163mg,44.1g,2.9g,Side Dish
Crunchy Fried Shrimp,4 mins,Trusted Brands: Recipes and Tips#Kikkoman,"1 pound uncooked jumbo shrimp, peeled and deveined, tails left intact# 1 cup flour# ¾ teaspoon salt# ½ teaspoon black pepper# 3 large eggs large eggs# 1½ cups Kikkoman Panko Bread Crumbs# 1 cup Vegetable oil (for deep frying)","Beat eggs in a medium bowl until frothy. Mix flour, salt and pepper in another medium bowl. Dredge shrimp in flour, shake off excess. Dip shrimp into eggs, then press shrimp into Panko; turn shrimp over and press into Panko again to coat both sides.# Pour enough oil into heavy large pot to reach depth of 2 inches; heat to 350 degrees F. Working in batches, add shrimp to hot oil; deep-fry until cooked through, about 1 minute. Using tongs transfer shrimp to paper towels to drain. Arrange shrimp on platter. If desired, serve with Kikkoman Tonkatsu Sauce for dipping.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F409456.jpg,Kikkoman,875,36.6g,823.3mg.,296.1mg,70.1g,27g,Trusted Brands: Recipes and Tips
Cinnamon Palmiers,20 mins ,Desserts#Cookies,"¼ cup white sugar# 1 sheet frozen puff pastry, thawed# 1 tablespoon butter, melted# 1 cup white sugar# ¾ teaspoon ground cinnamon#  teaspoon ground cardamom# water","Sprinkle a flat work surface with 1/4 cup sugar; unfold puff pastry over sugar and roll out to a 15x10-inch rectangle. Brush pastry with butter. Mix 1/3 cup sugar, cinnamon, and cardamom in a small bowl; sprinkle evenly over buttered pastry.# Starting with a long edge of the pastry, roll pastry tightly around filling, stopping in the middle. Repeat with the opposite edge, meeting the first roll. Put a little water onto your finger and dot along the long edges that come together; press gently so the two rolled edges stay together. Refrigerate until slightly firm, 5 to 10 minutes.# Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.# Cut pastry into 1/4-inch slices. Arrange slices on prepared baking sheet about 1 inch apart.# Bake in preheated oven until golden and crisp, about 12 minutes. Allow cookies to rest on baking sheet for 1 minute before transferring to a wire rack to cool completely.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F409456.jpg,Christine,79,9.5g,28.4mg.,1.3mg,4.3g,0.7g,Desserts
